Apr 19, 2021 2,238.03 2,276.78 2,086.69 2,166.19 34,060,654,971 250,277,144,257
Apr 18, 2021 2,346.45 2,365.46 2,011.77 2,237.14 50,696,368,718 258,444,691,650
Apr 17, 2021 2,429.98 2,497.39 2,333.68 2,344.89 32,349,808,978 270,861,474,697
Apr 16, 2021 2,516.60 2,547.56 2,318.68 2,431.95 36,196,928,256 280,884,355,082
Apr 15, 2021 2,436.03 2,544.27 2,409.92 2,519.12 32,325,606,817 290,918,491,377
Apr 14, 2021 2,299.35 2,449.69 2,284.56 2,435.11 35,592,822,986 281,183,637,540
