Apr 19, 2021  56,191.58  57,520.05  54,368.59  55,724.27  65,344,865,159  1,041,287,672,154
Apr 18, 2021  60,701.89  61,057.46  52,829.54  56,216.19  97,468,872,758  1,050,445,401,610
Apr 17, 2021  61,529.92  62,572.18  60,361.35  60,683.82  66,138,759,198  1,133,882,479,237
Apr 16, 2021  63,258.51  63,594.72  60,222.53  61,572.79  84,293,007,468  1,150,457,156,740
Apr 15, 2021  63,075.20  63,821.67  62,208.96  63,314.01  60,954,381,579  1,182,945,492,744
Apr 14, 2021  63,523.75  64,863.10  61,554.80  63,109.70  77,451,779,687  1,179,061,093,980
